Date,Time,PWM1,RPM,KNOTS,PWM2,RPM2,KNOTS2
01-01-1970,00:00:33,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:34,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:35,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:36,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:37,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:38,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:39,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:40,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:41,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:42,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:43,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:44,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:45,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:46,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:47,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:48,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:49,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:50,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:51,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:52,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:53,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:54,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:55,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:56,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:57,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:58,197,3862,77.24,197,3862,77.24
01-01-1970,00:00:59,197,3862,77.24,197,3862,77.24
01-01-1970,00:01:00,197,3862,77.24,197,3862,77.24
01-01-1970,00:01:01,197,3862,77.24,197,3862,77.24
01-01-1970,00:01:02,197,3862,77.24,197,3862,77.24
01-01-1970,00:01:03,197,3862,77.24,197,3862,77.24
